Date / Time,12:15 AM,12:30 AM,12:45 AM,1:00 AM,1:15 AM,1:30 AM,1:45 AM,2:00 AM,2:15 AM,2:30 AM,2:45 AM,3:00 AM,3:15 AM,3:30 AM,3:45 AM,4:00 AM,4:15 AM,4:30 AM,4:45 AM,5:00 AM,5:15 AM,5:30 AM,5:45 AM,6:00 AM,6:15 AM,6:30 AM,6:45 AM,7:00 AM,7:15 AM,7:30 AM,7:45 AM,8:00 AM,8:15 AM,8:30 AM,8:45 AM,9:00 AM,9:15 AM,9:30 AM,9:45 AM,10:00 AM,10:15 AM,10:30 AM,10:45 AM,11:00 AM,11:15 AM,11:30 AM,11:45 AM,12:00 PM,12:15 PM,12:30 PM,12:45 PM,1:00 PM,1:15 PM,1:30 PM,1:45 PM,2:00 PM,2:15 PM,2:30 PM,2:45 PM,3:00 PM,3:15 PM,3:30 PM,3:45 PM,4:00 PM,4:15 PM,4:30 PM,4:45 PM,5:00 PM,5:15 PM,5:30 PM,5:45 PM,6:00 PM,6:15 PM,6:30 PM,6:45 PM,7:00 PM,7:15 PM,7:30 PM,7:45 PM,8:00 PM,8:15 PM,8:30 PM,8:45 PM,9:00 PM,9:15 PM,9:30 PM,9:45 PM,10:00 PM,10:15 PM,10:30 PM,10:45 PM,11:00 PM,11:15 PM,11:30 PM,11:45 PM,12:00 AM
12/1/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.6,272.4,275.2,274,285.2,281.2,279.2,286.4,285.2,276,274.8,268.4,269.6,265.2,256,266,261.6,262,254.8,246.8,240.4,230.8,222.4,212.8,201.2,193.2,186,183.2,167.2,160,160,150.8,152.8,148.4,148.8,146.8,148.4,145.2,143.2,138,134.8,134.8,132.8,132.4,128.4,120.8,120,119.6
12/2/2011,120,120,121.6,122,123.2,122,122.8,121.2,124.8,125.6,129.6,128,130.4,129.6,132.4,132.4,132.4,132.4,134,134,139.2,146.8,146,160,161.6,154,155.6,158.8,166,174.8,182,188.8,192.8,204.8,210.8,222,226.8,237.6,246.4,253.2,250.4,248.8,251.6,253.2,256.8,264.8,270.8,267.6,265.2,266.4,264.8,269.2,271.2,270.8,266,271.2,265.6,267.2,264.4,260.8,259.6,256.4,255.6,250,248,251.2,243.2,246,236.8,224.8,214.8,212.4,202,197.2,188.8,183.6,173.6,162.8,159.2,151.6,151.6,149.2,146.4,143.2,142.4,140.4,139.6,138,136.8,137.6,139.2,128.8,126.4,122.8,121.2,122
12/3/2011,121.2,123.6,121.6,122.8,124,120.4,122.4,120.8,126,128.4,125.6,129.6,127.6,127.2,131.2,130.4,129.6,130,130.8,131.6,136.8,145.2,158,160.8,169.6,170.4,173.2,176,178.8,180,184,189.6,190,206.4,206.8,214.8,227.2,234,243.2,243.6,252.4,248.4,256,252.8,253.6,260.4,261.2,262.4,260,268,262,258.4,264.8,264,264,265.6,265.2,264.8,260,255.2,255.6,251.6,255.2,253.2,253.2,255.2,252.8,245.6,226,218.8,211.2,207.6,191.6,187.2,184.8,177.6,167.2,164.4,159.2,158.8,158.4,151.6,149.2,149.2,151.6,147.2,150.8,149.6,147.6,142.8,143.6,142,138,136,133.2,129.6
12/4/2011,131.6,124.8,126.8,130.8,129.2,130.4,132.4,131.6,132.4,132.4,134,132.8,132,132.4,134,131.6,132.4,135.6,132.8,135.2,134.8,137.2,137.2,135.6,138.8,138,137.2,137.6,139.2,139.6,138,139.6,140,140.8,137.6,138,136.4,137.6,137.2,138,138.4,136.8,136.4,137.2,137.2,137.6,138.8,140,140.8,140,139.6,139.6,140.8,139.2,140,141.2,143.2,137.2,139.6,135.6,137.2,138,136,136.4,136,138.8,138.8,136.4,138,137.6,136.8,137.6,138,135.2,135.2,134.8,132.4,132,132,132,131.6,131.6,131.6,132.8,132.8,132.4,130.8,134.4,132.4,134.4,133.6,132.8,135.6,133.2,134.4,134.8
12/5/2011,132.8,132,134.8,130.8,134.4,134,133.6,131.2,133.6,134,135.2,132.4,136.4,133.2,134.8,136.4,136.4,133.6,135.2,139.2,134,136.4,137.2,139.6,142.8,145.6,147.2,145.6,148,146.4,147.2,147.2,146.8,148.8,148,149.6,149.2,148.4,148.8,146.4,143.2,145.6,145.6,144.8,145.2,142.4,146,144,142.4,144.8,142.4,147.2,143.2,143.2,145.2,143.6,144.4,145.6,144.4,146.4,143.2,142.4,146.4,145.6,146,142.8,144,142.4,141.6,142.8,144.8,142.4,140.4,138.8,140.8,139.6,136.4,137.2,135.6,138.4,136.8,138.8,137.6,138.8,138.4,136,138,136.8,134.8,136.4,136,138.8,134,138.4,136.4,137.2
12/6/2011,138.8,139.2,141.2,137.2,142.4,138.8,140.8,141.2,138,138,140.8,139.2,141.6,137.6,142,140.8,142,144,149.2,147.2,150.8,152.4,161.2,172,182,185.6,188.4,190,195.6,197.2,196,206.4,212.8,217.2,230.4,242.8,250,263.6,270.8,277.2,283.2,290.4,290,288.4,289.2,282.8,289.6,286.8,282.4,278,285.2,291.2,286.4,289.6,292.8,294.4,290,298,295.2,296.8,300,296.4,296.4,290,289.2,291.6,289.6,280.4,265.6,256.4,244,238.8,227.2,222.8,212,206.8,194.8,184,176,176,175.6,166.8,166.4,162.8,158.8,159.2,156.8,154.4,148,146,142.4,138.8,141.6,137.6,138.4,134
12/7/2011,136,134,134.4,134.8,132.8,137.2,136.4,136.4,136,136.4,140.8,138.4,137.2,143.2,142,137.6,141.6,143.6,148,156,157.2,162.4,165.6,172.4,179.6,182,183.2,190.4,194,202.4,203.2,213.2,220.4,228.4,229.6,243.2,248.4,257.2,264.4,262,266.4,267.2,267.2,262,267.6,267.2,254.4,262.4,266.4,266.8,272.8,274.8,276.4,268.8,264,267.2,263.6,257.6,258.8,264.4,256.8,261.6,259.2,257.6,265.2,258.8,258.8,254.4,248.4,240,234.8,234.4,224,216.4,214.8,211.6,200.8,192.4,187.6,180,172.8,167.2,164,163.2,161.2,158,154.8,155.6,153.6,150.4,149.6,146.4,145.2,144,140.8,140.8
12/8/2011,140,137.6,140.4,140,138,142,139.6,140,140.4,140.4,140.4,141.2,141.6,142.8,144.8,148,149.2,150,152.8,156.8,158.8,166.4,180.8,187.6,194.8,197.6,200,204.4,206.8,207.2,214,215.2,224,230.4,239.2,249.2,259.2,270,275.6,272.4,278,275.2,277.6,282,282,282,288,288.8,290.4,279.2,277.6,274,276,275.6,276,277.6,282.4,278.4,277.2,278.4,282.8,280,275.6,276.4,272.4,265.6,256,253.2,246.4,234.8,229.6,228.4,219.6,212,204.4,198,190.4,182.8,172,170.8,167.2,169.2,165.6,157.6,155.2,153.6,152.4,153.6,153.2,151.6,154.8,150.4,155.2,151.2,150,148.4
12/9/2011,148.8,148,146,144.8,144.8,145.6,145.6,142.8,144.8,145.6,147.6,145.6,148.4,146,147.6,152.8,155.6,154.8,153.2,155.2,168.8,171.6,178.8,196,200.4,203.2,207.2,207.2,211.2,212.4,220,228,231.2,242.8,246.8,248.4,260.8,260.8,265.6,262.8,268.4,272.4,272.8,276,272.4,265.6,266,273.6,270.8,270.4,280,274,270.8,272.8,266.4,270,266.4,267.6,267.6,268,266.8,260.8,267.6,265.2,264.8,261.6,259.2,252.4,242.8,234.8,231.2,226.4,209.2,206.8,199.6,196.8,181.6,174.8,174.8,174.4,170.8,166.4,166.8,163.2,162.8,161.6,162.8,161.6,159.6,158.8,155.2,155.6,151.6,151.6,148,143.2
12/10/2011,144.8,144,144.4,146.4,145.2,145.6,146,146.8,144.8,147.2,147.2,148.8,144.8,145.2,149.6,155.6,153.6,154,157.6,161.2,164.8,167.6,181.6,199.6,205.6,204,201.6,205.2,210.8,212,216.4,214.8,222,228,234.4,244.4,242,251.6,255.6,257.2,259.6,263.6,265.2,263.2,262.4,264,258.8,264.8,264,263.6,270,269.6,266.4,265.2,264.4,263.2,261.6,258.4,255.2,252,254,259.6,256.4,252.8,251.2,250,245.6,240.8,230.8,220.8,213.2,206.8,197.6,192,183.6,183.6,174,170,165.2,164.8,161.2,157.6,158,155.6,156.4,152.4,150.8,150,151.2,148.4,144.4,144,141.6,141.2,139.6,136.4
