Date,Unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00
4/1/2011,KWh,52.92,51.36,54.24,54.24,53.04,51.12,51.6,51.84,53.64,56.4,53.28,53.4,52.2,55.56,54.72,56.64,52.8,52.2,51.84,55.32,54.36,56.16,53.52,51.12,52.56,50.88,52.8,56.16,51.6,49.44,48.84,50.04,50.76,51.48,47.52,49.08,49.32,48.36,50.64,52.68,48.96,48.36,49.08,47.64,51.84,55.08,50.52,47.88,49.44,48.96,49.56,50.76,53.76,49.08,51.36,51.6,49.68,50.16,51.36,52.92,48.48,51,48.48,48.6,47.76,53.28,56.52,57.6,54.36,50.88,54.12,55.44,53.04,58.08,56.52,56.4,54.24,55.68,56.04,58.08,59.64,56.88,55.56,56.4,54.48,57.24,59.52,54.72,54.6,55.8,53.76,56.04,60,56.52,54,55.2
4/2/2011,KWh,53.76,59.28,54.6,55.2,54.6,56.64,54.72,58.8,53.64,54.12,55.32,51.96,56.64,52.56,56.16,51.36,54.48,53.76,57.24,52.2,54.48,51.6,54.72,58.2,54.6,52.92,56.64,54.84,56.4,56.52,52.2,53.76,54.12,51.84,55.68,56.76,60.48,54.84,56.64,57.84,61.92,56.28,54.48,54.48,54.72,58.08,57.84,54,54.24,58.32,55.68,60.6,56.04,57.36,57.12,53.28,52.32,56.88,52.8,52.44,52.44,52.56,51.48,53.16,54.84,52.92,54.48,56.52,55.2,57,59.16,55.8,54.72,57.24,56.76,57,59.64,54.96,59.28,57.48,56.04,59.04,56.64,56.76,54,55.32,56.4,58.32,56.04,52.68,56.52,54.36,58.8,57.72,55.8,55.2
4/3/2011,KWh,55.08,58.92,60.6,54.84,56.04,55.68,58.32,58.68,57.48,54.6,55.32,57.6,58.8,57,55.68,57,58.8,59.76,61.8,60.96,60.12,58.2,62.76,60.36,57,59.28,59.88,60.24,60.84,54,55.32,55.2,56.28,59.16,54.12,55.68,54.24,53.64,60.96,53.64,57,56.16,55.92,60.48,56.64,59.4,51.84,58.56,55.68,57.72,52.2,53.52,51.84,52.8,53.52,52.08,51.12,51.24,50.52,52.32,56.4,51,52.92,50.76,49.2,53.52,57.6,56.52,55.08,57.12,56.04,60.84,59.16,54.96,55.56,54.6,57,57.72,56.88,55.2,54.84,59.04,56.04,58.56,56.64,55.2,55.32,54.6,57,56.16,55.92,53.76,56.52,55.92,56.04,58.08
4/4/2011,KWh,54.72,53.76,54.24,54,55.44,57.12,55.2,54.6,53.04,53.76,54,57.6,54.84,54.12,53.16,52.68,55.32,54.96,57.48,55.2,53.4,56.76,60.48,64.68,65.64,69.36,70.8,65.76,66.96,67.92,71.4,69.24,75.96,75.36,75.72,77.52,82.92,82.08,80.52,82.2,87.6,85.2,80.76,77.76,78.12,80.04,79.92,80.88,81.12,83.76,80.16,78.12,79.92,78.48,78,75.6,78.72,74.76,72.6,75.12,73.44,72.48,75.48,76.92,72.72,69.96,70.32,65.04,66.36,69.12,70.08,69,68.76,76.32,73.2,72.72,71.28,70.56,68.4,70.2,64.68,65.88,69.12,65.52,58.2,57.96,58.2,55.92,60.96,59.88,54.72,59.04,56.04,55.8,58.8,60
4/5/2011,KWh,56.52,58.32,56.4,54.6,58.44,57.48,57,57.36,53.76,56.16,55.32,59.16,58.32,55.44,55.32,52.8,56.76,56.16,57,56.76,52.68,55.08,56.64,60.84,66.6,73.08,69.6,64.8,72,70.92,76.68,77.04,78.96,82.44,79.2,79.44,83.28,83.64,83.76,79.8,82.44,82.44,83.04,86.28,80.04,83.88,82.08,81.6,80.64,84.84,81.96,80.28,80.88,75.96,76.8,76.08,76.68,78,75.48,75.6,71.16,75.12,72.36,74.4,76.56,70.32,65.88,61.56,64.2,62.64,67.44,67.44,68.28,69.48,65.76,67.08,65.64,67.56,64.32,63.96,62.88,65.4,63.24,62.64,60.96,56.52,56.04,56.52,55.08,60.12,57.36,55.44,55.2,54.72,56.04,56.28
4/6/2011,KWh,59.52,55.32,53.4,53.4,53.28,57.36,55.8,53.64,54.48,52.8,54.72,55.92,57.36,54.24,54.96,53.88,52.8,56.76,55.68,56.64,53.28,54,52.92,57.6,68.88,71.52,75,72.84,78,78.12,80.04,81.72,85.44,84.96,86.88,86.88,89.28,87.24,93.84,94.44,90.84,87.6,84.84,78.84,80.04,81.48,80.16,80.52,80.52,80.28,79.2,78.72,75.84,76.08,74.64,70.8,74.04,75.36,69.96,70.92,73.32,71.88,72.84,70.92,71.88,69.48,66.48,62.76,62.64,63.48,64.68,66,70.2,72.24,67.8,67.92,64.68,66.84,66.6,62.88,62.76,64.8,63.24,61.2,59.4,56.4,54.96,57.72,54.84,57.36,59.52,55.92,57.84,57.96,55.92,55.44
4/7/2011,KWh,58.08,56.88,53.04,55.32,53.04,53.04,57.72,55.8,54.36,52.8,52.8,55.56,54.48,57.72,52.56,52.68,55.56,52.08,55.92,60.24,54.12,55.32,57,59.16,68.28,72.72,69,66.96,69.6,66.84,75.84,76.2,74.88,80.4,78.36,78.48,81.48,83.76,81.36,80.16,82.92,82.32,80.52,86.04,81.6,81,81.24,82.08,82.2,80.28,85.32,85.2,81.24,81.48,78.12,76.44,74.76,74.16,74.28,78.48,76.08,70.32,73.68,73.32,70.32,68.28,65.88,64.68,63.36,63.24,61.32,63.48,69.6,67.8,69,65.4,63.96,65.4,65.16,65.88,67.32,66.12,63,60.48,58.92,56.52,58.68,59.64,55.32,54.6,54,55.8,55.32,57.84,56.28,54.12
4/8/2011,KWh,53.04,52.92,55.92,57.84,57.48,54.72,52.68,53.76,54,57,55.68,54.12,51.72,54.84,52.56,55.92,56.16,53.88,53.28,54.12,55.44,56.88,59.04,61.92,70.8,76.68,72.6,75.48,80.16,74.88,77.52,82.44,85.44,90.84,92.16,84.12,88.56,88.08,90,91.92,91.8,90.6,87.84,89.64,86.76,92.76,90.48,86.76,90,89.16,89.04,88.8,90.12,87,85.2,81.72,81.48,79.92,84.6,83.76,78,79.56,78.96,78.36,80.88,78.96,74.16,72.36,71.52,70.2,74.88,71.04,72.36,70.44,71.4,73.56,70.2,72,68.4,67.08,68.04,62.52,61.2,60.72,56.4,55.2,57.48,55.2,59.88,58.92,54.84,56.52,60.24,60.24,60.84,60.24
4/9/2011,KWh,54.6,58.56,55.2,58.44,58.8,54.36,57,55.68,56.52,58.8,57.48,53.52,54.48,53.52,55.56,56.52,56.04,56.52,54,56.16,57.6,58.68,54.72,54.36,55.68,58.44,60.72,58.56,62.76,60.6,57.6,65.28,60.96,60.72,56.64,63,62.4,61.44,62.16,64.08,64.08,64.44,64.32,65.28,63.72,62.52,60.48,64.8,59.4,55.44,58.08,57.96,60.12,55.8,55.56,56.64,55.56,59.04,60.24,55.56,56.28,56.88,56.4,57,60.48,54.12,57.24,59.04,61.08,67.32,60.84,60.48,58.68,58.32,61.2,64.56,58.44,62.52,60.24,59.52,65.88,59.88,62.52,59.04,63.12,63.12,64.92,59.04,62.88,61.8,63.72,63.48,60,59.88,65.88,63.36
4/10/2011,KWh,62.16,60.72,64.44,62.52,63.96,69.12,59.76,63,61.92,62.88,69.72,64.2,65.88,61.32,69.6,68.04,60.12,65.52,59.28,66.6,65.04,62.52,64.08,61.56,65.28,67.68,60.84,62.64,58.68,58.8,57.6,59.76,56.64,58.8,60.48,62.64,61.8,63.96,59.52,51.48,58.92,58.08,51.72,53.88,53.04,53.28,55.92,55.92,49.08,51.6,51.24,51.36,53.52,51.24,47.28,51.96,48.48,53.64,52.2,51.12,51.12,48.6,49.8,52.32,53.64,52.68,51.84,52.8,57.72,59.64,57.12,53.88,50.52,53.04,52.2,55.56,60.12,54.48,52.56,53.16,55.44,57.12,54.48,53.76,52.32,52.32,55.68,59.76,56.28,53.64,55.92,54.72,58.32,57.12,55.44,55.44
