Date,Unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00
1/1/2011,KWH,85.2,85.2,84.25,84.25,84.55,84.55,83.9,83.9,84.55,84.55,84.25,84.25,83.9,83.9,83.9,83.9,83.25,83.25,83.9,83.9,85.55,85.55,85.2,85.2,85.55,85.55,86.2,86.2,85.55,85.55,84.9,84.9,84.25,84.25,85.2,85.2,84.9,84.9,84.55,84.55,85.85,85.85,86.5,86.5,86.2,86.2,86.85,86.85,86.85,86.85,86.2,86.2,86.5,86.5,85.2,85.2,85.2,85.2,83.9,83.9,84.25,84.25,84.55,84.55,83.25,83.25,84.55,84.55,85.85,85.85,84.9,84.9,84.25,84.25,83.9,83.9,83.6,83.6,83.6,83.6,83.9,83.9,83.9,83.9,83.9,83.9,83.6,83.6,84.25,84.25,83.9,83.9,84.55,84.55,84.55,84.55
1/2/2011,KWH,84.25,84.25,84.55,84.55,84.9,84.9,84.9,84.9,87.15,87.15,87.15,87.15,85.85,85.85,85.55,85.55,84.9,84.9,85.85,85.85,85.55,85.55,85.85,85.85,85.85,85.85,85.2,85.2,84.55,84.55,83.6,83.6,83.9,83.9,84.25,84.25,84.25,84.25,84.25,84.25,85.2,85.2,84.25,84.25,85.2,85.2,84.25,84.25,84.9,84.9,83.9,83.9,84.55,84.55,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,83.9,84.25,84.25,84.25,84.25,87.15,87.15,86.5,86.5,87.15,87.15,86.2,86.2,86.85,86.85,86.5,86.5,85.85,85.85,86.2,86.2,85.55,85.55,85.2,85.2,85.85,85.85,85.55,85.55,85.2,85.2,87.5,87.5
1/3/2011,KWH,95.25,95.25,95.25,95.25,94.6,94.6,94.6,94.6,92,92,91.35,91.35,91.7,91.7,92,92,97.85,97.85,109.85,109.85,103.35,103.35,102.05,102.05,106.9,106.9,116.95,116.95,130.25,130.25,138,138,146.75,146.75,153.6,153.6,155.85,155.85,159.1,159.1,160.05,160.05,160.05,160.05,159.1,159.1,162,162,162,162,159.75,159.75,159.75,159.75,160.7,160.7,160.05,160.05,157.8,157.8,156.15,156.15,154.2,154.2,149.35,149.35,144.2,144.2,131.2,131.2,116.95,116.95,103.7,103.7,101.75,101.75,98.8,98.8,98.15,98.15,97.2,97.2,96.25,96.25,90.7,90.7,88.15,88.15,88.8,88.8,89.1,89.1,87.5,87.5,86.85,86.85
1/4/2011,KWH,85.55,85.55,84.55,84.55,84.9,84.9,86.5,86.5,86.2,86.2,85.55,85.55,83.9,83.9,83.6,83.6,86.2,86.2,90.05,90.05,94.3,94.3,113.4,113.4,119.25,119.25,123.75,123.75,133.8,133.8,145.5,145.5,151,151,156.15,156.15,158.75,158.75,159.75,159.75,163.3,163.3,163.6,163.6,164.9,164.9,164.25,164.25,164.6,164.6,165.25,165.25,165.9,165.9,166.2,166.2,162,162,162.95,162.95,162.3,162.3,159.75,159.75,155.5,155.5,149.7,149.7,142.25,142.25,119.55,119.55,107.9,107.9,101.4,101.4,99.15,99.15,98.5,98.5,95.9,95.9,91.7,91.7,89.1,89.1,87.5,87.5,85.55,85.55,84.25,84.25,86.2,86.2,85.55,85.55
1/5/2011,KWH,82.95,82.95,83.9,83.9,83.6,83.6,81.65,81.65,82.3,82.3,82.95,82.95,84.9,84.9,85.85,85.85,85.85,85.85,85.85,85.85,91.7,91.7,103.35,103.35,125.4,125.4,128.65,128.65,135.75,135.75,147.1,147.1,153.9,153.9,159.1,159.1,162.3,162.3,163.3,163.3,163.6,163.6,165.9,165.9,163.6,163.6,164.25,164.25,164.6,164.6,164.25,164.25,163.6,163.6,164.25,164.25,162.65,162.65,162.65,162.65,161.05,161.05,155.5,155.5,152.6,152.6,142.9,142.9,126.35,126.35,117.95,117.95,105.6,105.6,101.1,101.1,100.45,100.45,97.2,97.2,96.9,96.9,94.6,94.6,91.35,91.35,90.7,90.7,89.1,89.1,87.8,87.8,85.85,85.85,83.25,83.25
1/6/2011,KWH,83.25,83.25,84.55,84.55,83.9,83.9,85.85,85.85,85.55,85.55,86.2,86.2,85.55,85.55,82.3,82.3,82.6,82.6,84.55,84.55,100.75,100.75,117.6,117.6,117.95,117.95,123.75,123.75,135.45,135.45,143.85,143.85,151.3,151.3,155.2,155.2,159.4,159.4,162,162,163.6,163.6,163.3,163.3,161.05,161.05,162.3,162.3,162.3,162.3,162.3,162.3,163.6,163.6,162.3,162.3,159.75,159.75,159.75,159.75,158.75,158.75,156.15,156.15,151.3,151.3,144.85,144.85,138.65,138.65,126.7,126.7,103.7,103.7,99.45,99.45,97.85,97.85,95.6,95.6,96.25,96.25,93.65,93.65,91.35,91.35,91.05,91.05,87.8,87.8,84.9,84.9,83.9,83.9,85.2,85.2
1/7/2011,KWH,86.5,86.5,85.85,85.85,84.55,84.55,83.9,83.9,82.95,82.95,85.2,85.2,86.5,86.5,85.55,85.55,85.85,85.85,85.2,85.2,89.75,89.75,97.85,97.85,122.8,122.8,129.3,129.3,135.1,135.1,142.25,142.25,147.75,147.75,153.6,153.6,157.45,157.45,158.1,158.1,160.05,160.05,160.05,160.05,161.05,161.05,161.35,161.35,161.7,161.7,160.4,160.4,158.1,158.1,157.15,157.15,157.15,157.15,155.5,155.5,154.2,154.2,151.3,151.3,145.8,145.8,137.4,137.4,130.55,130.55,114.7,114.7,103.35,103.35,99.15,99.15,94.3,94.3,93.65,93.65,90.7,90.7,86.85,86.85,85.2,85.2,87.15,87.15,86.2,86.2,85.85,85.85,83.6,83.6,82.6,82.6
1/8/2011,KWH,82.95,82.95,83.9,83.9,85.2,85.2,86.2,86.2,84.9,84.9,81.95,81.95,81.95,81.95,82.3,82.3,84.55,84.55,83.25,83.25,83.25,83.25,80.7,80.7,81.3,81.3,81.65,81.65,83.6,83.6,84.55,84.55,84.55,84.55,82.95,82.95,82.95,82.95,82.95,82.95,84.55,84.55,83.9,83.9,84.25,84.25,85.55,85.55,84.55,84.55,84.9,84.9,82.6,82.6,82.6,82.6,83.9,83.9,84.25,84.25,83.25,83.25,81,81,82.3,82.3,84.25,84.25,87.15,87.15,83.25,83.25,80.7,80.7,80.7,80.7,82.95,82.95,84.55,84.55,79.7,79.7,78.75,78.75,80.05,80.05,82.3,82.3,77.75,77.75,77.45,77.45,82.6,82.6,76.8,76.8
1/9/2011,KWH,77.75,77.75,77.45,77.45,83.25,83.25,78.4,78.4,79.05,79.05,82.95,82.95,78.75,78.75,77.45,77.45,77.45,77.45,83.6,83.6,79.4,79.4,79.4,79.4,78.4,78.4,80.05,80.05,83.9,83.9,78.1,78.1,81,81,76.8,76.8,78.4,78.4,74.85,74.85,76.45,76.45,78.75,78.75,77.75,77.75,75.5,75.5,75.15,75.15,78.1,78.1,77.75,77.75,76.15,76.15,75.5,75.5,75.5,75.5,78.4,78.4,78.1,78.1,77.75,77.75,77.45,77.45,76.45,76.45,76.45,76.45,77.1,77.1,78.75,78.75,78.75,78.75,77.75,77.75,75.5,75.5,77.75,77.75,78.1,78.1,78.75,78.75,81.65,81.65,82.95,82.95,74.5,74.5,73.85,73.85
1/10/2011,KWH,77.1,77.1,79.4,79.4,78.75,78.75,78.4,78.4,77.45,77.45,76.45,76.45,76.45,76.45,77.1,77.1,79.05,79.05,82.3,82.3,83.6,83.6,87.15,87.15,90.05,90.05,116.95,116.95,122.45,122.45,133.8,133.8,145.15,145.15,150.65,150.65,156.5,156.5,158.45,158.45,159.1,159.1,160.4,160.4,160.05,160.05,159.4,159.4,156.8,156.8,158.1,158.1,157.45,157.45,158.45,158.45,157.8,157.8,157.8,157.8,155.5,155.5,150.65,150.65,146.45,146.45,137.7,137.7,125.4,125.4,112.1,112.1,99.8,99.8,93,93,91.7,91.7,90.05,90.05,87.8,87.8,84.9,84.9,84.25,84.25,79.4,79.4,78.4,78.4,77.1,77.1,76.45,76.45,78.4,78.4
